PassengerId,HomePlanet,CryoSleep,Cabin,Destination,Age,VIP,TotalExpenditure,Name
0013_01,Earth,True,G,TRAPPIST-1e,27.0,False,0.0,Nelly Carsoning
0018_01,Mars,False,F,TRAPPIST-1e,19.0,False,2832.0,Lerome Peckers
0019_01,Europa,True,C,55 Cancri e,31.0,False,0.0,Sabih Unhearfus
0021_01,Europa,False,C,TRAPPIST-1e,38.0,False,7418.0,Meratz Caltilter
0023_01,Mars,False,F,TRAPPIST-1e,20.0,False,645.0,Brence Harperez
0027_01,Mars,False,F,TRAPPIST-1e,31.0,False,2051.0,Karlen Ricks
0029_01,Europa,True,B,55 Cancri e,21.0,False,0.0,Aldah Ainserfle
0032_01,Mars,True,D,TRAPPIST-1e,20.0,False,0.0,Acrabi Pringry
0032_02,Mars,True,D,55 Cancri e,23.0,False,0.0,Dhena Pringry
0033_01,Mars,False,F,55 Cancri e,24.0,False,639.0,Eliana Delazarson
0037_01,Mars,False,F,TRAPPIST-1e,19.0,False,715.0,Vivia Rickson
0040_01,Mars,False,D,TRAPPIST-1e,45.0,False,2023.0,Antino Pinoffent
0040_02,Mars,False,D,TRAPPIST-1e,44.0,False,1799.0,Jihda Pinoffent
0042_01,Earth,True,E,TRAPPIST-1e,46.0,False,0.0,Hamus Frité
0046_01,Earth,False,G,TRAPPIST-1e,21.0,False,1779.0,Neilda Powery
0046_02,Mars,False,F,TRAPPIST-1e,27.0,False,1593.0,Glene Powery
0046_03,Mars,False,F,TRAPPIST-1e,20.0,False,1414.0,Joanny Powery
0047_01,Europa,True,B,TRAPPIST-1e,44.0,False,0.0,Winonon Prucerod
0047_02,Mars,False,,TRAPPIST-1e,29.0,False,8863.0,Muons Prucerod
0047_03,Europa,False,B,TRAPPIST-1e,40.0,False,5166.0,
0048_01,Earth,False,G,TRAPPIST-1e,30.0,False,907.0,Tyle Deckerry
0049_01,Earth,False,E,TRAPPIST-1e,14.0,False,1609.0,Doria Flynney
0054_01,Europa,True,B,55 Cancri e,31.0,False,0.0,Algedia Viouster
0054_02,Europa,False,B,55 Cancri e,27.0,False,8216.0,Alteron Viouster
0054_03,Europa,False,B,55 Cancri e,66.0,False,8055.0,Winon Viouster
0055_01,Earth,False,G,TRAPPIST-1e,24.0,False,1828.0,Brence Frederry
0057_01,Europa,False,C,55 Cancri e,19.0,False,9601.0,Gatrin Windend
0059_01,Earth,True,E,TRAPPIST-1e,36.0,False,0.0,Janne Carvis
0060_01,Mars,False,F,TRAPPIST-1e,21.0,False,634.0,Fanna Ashipeck
0063_01,Earth,True,G,55 Cancri e,18.0,False,0.0,Elene Daughessey
0065_01,Earth,True,G,TRAPPIST-1e,26.0,False,0.0,Monald Rushorney
